Pickup Punkte;Tour;Aufnahmedatum der Tour;geo_point_2d
"{""coordinates"": [9.35695644360521, 47.4170325647016], ""type"": ""Point""}";Tour 102;2016-03-14;47.4170325647016, 9.35695644360521
"{""coordinates"": [9.35429300989466, 47.4162037620666], ""type"": ""Point""}";Tour 102;2016-03-14;47.4162037620666, 9.35429300989466
"{""coordinates"": [9.3522062511567, 47.418136293777], ""type"": ""Point""}";Tour 102;2016-03-14;47.418136293777, 9.3522062511567
"{""coordinates"": [9.3528875322871, 47.418159092555], ""type"": ""Point""}";Tour 102;2016-03-14;47.418159092555, 9.3528875322871
"{""coordinates"": [9.35317989308714, 47.4179324458797], ""type"": ""Point""}";Tour 102;2016-03-14;47.4179324458797, 9.35317989308714
"{""coordinates"": [9.35472216336262, 47.4186620067753], ""type"": ""Point""}";Tour 102;2016-03-14;47.4186620067753, 9.35472216336262
"{""coordinates"": [9.35186963390527, 47.4175395022356], ""type"": ""Point""}";Tour 102;2016-03-14;47.4175395022356, 9.35186963390527
"{""coordinates"": [9.35508023828746, 47.4169319818575], ""type"": ""Point""}";Tour 102;2016-03-14;47.4169319818575, 9.35508023828746
"{""coordinates"": [9.35328181703579, 47.4166127989657], ""type"": ""Point""}";Tour 102;2016-03-14;47.4166127989657, 9.35328181703579
"{""coordinates"": [9.35789521681639, 47.4169373462759], ""type"": ""Point""}";Tour 102;2016-03-14;47.4169373462759, 9.35789521681639
"{""coordinates"": [9.35940127726801, 47.4166181633841], ""type"": ""Point""}";Tour 102;2016-03-14;47.4166181633841, 9.35940127726801
"{""coordinates"": [9.3605184173893, 47.4155171165179], ""type"": ""Point""}";Tour 102;2016-03-14;47.4155171165179, 9.3605184173893
"{""coordinates"": [9.36045940878745, 47.4155935594793], ""type"": ""Point""}";Tour 102;2016-03-14;47.4155935594793, 9.36045940878745
"{""coordinates"": [9.36001550316902, 47.4181725036009], ""type"": ""Point""}";Tour 102;2016-03-14;47.4181725036009, 9.36001550316902
"{""coordinates"": [9.36150547036561, 47.4187008988083], ""type"": ""Point""}";Tour 102;2016-03-14;47.4187008988083, 9.36150547036561
"{""coordinates"": [9.36161678204635, 47.4186848055533], ""type"": ""Point""}";Tour 102;2016-03-14;47.4186848055533, 9.36161678204635
"{""coordinates"": [9.36203788888679, 47.4186351846835], ""type"": ""Point""}";Tour 102;2016-03-14;47.4186351846835, 9.36203788888679
"{""coordinates"": [9.36128016479492, 47.4182100545293], ""type"": ""Point""}";Tour 102;2016-03-14;47.4182100545293, 9.36128016479492
"{""coordinates"": [9.36123188502978, 47.4180558275018], ""type"": ""Point""}";Tour 102;2016-03-14;47.4180558275018, 9.36123188502978
"{""coordinates"": [9.36180185447941, 47.4190603148377], ""type"": ""Point""}";Tour 102;2016-03-14;47.4190603148377, 9.36180185447941
"{""coordinates"": [9.3619010962189, 47.4190589737331], ""type"": ""Point""}";Tour 102;2016-03-14;47.4190589737331, 9.3619010962189
"{""coordinates"": [9.36352383276963, 47.4190898191386], ""type"": ""Point""}";Tour 102;2016-03-14;47.4190898191386, 9.36352383276963
"{""coordinates"": [9.36484213857901, 47.4203182709407], ""type"": ""Point""}";Tour 102;2016-03-14;47.4203182709407, 9.36484213857901
"{""coordinates"": [9.36397578501558, 47.4201962304232], ""type"": ""Point""}";Tour 102;2016-03-14;47.4201962304232, 9.36397578501558
"{""coordinates"": [9.36329986830353, 47.4198153567204], ""type"": ""Point""}";Tour 102;2016-03-14;47.4198153567204, 9.36329986830353
"{""coordinates"": [9.36347555300446, 47.4195390891754], ""type"": ""Point""}";Tour 102;2016-03-14;47.4195390891754, 9.36347555300446
"{""coordinates"": [9.36447601702667, 47.4206347716233], ""type"": ""Point""}";Tour 102;2016-03-14;47.4206347716233, 9.36447601702667
"{""coordinates"": [9.36295520442457, 47.4185869049184], ""type"": ""Point""}";Tour 102;2016-03-14;47.4185869049184, 9.36295520442457
"{""coordinates"": [9.36252873316579, 47.4182502876669], ""type"": ""Point""}";Tour 102;2016-03-14;47.4182502876669, 9.36252873316579
"{""coordinates"": [9.35728099091537, 47.4160146663198], ""type"": ""Point""}";Tour 102;2016-03-14;47.4160146663198, 9.35728099091537
"{""coordinates"": [9.35750361427685, 47.416540379318], ""type"": ""Point""}";Tour 102;2016-03-14;47.416540379318, 9.35750361427685
"{""coordinates"": [9.35659166315745, 47.415864462606], ""type"": ""Point""}";Tour 102;2016-03-14;47.415864462606, 9.35659166315745
"{""coordinates"": [9.35608472562342, 47.4162426540996], ""type"": ""Point""}";Tour 102;2016-03-14;47.4162426540996, 9.35608472562342
"{""coordinates"": [9.35650717356845, 47.4163727412446], ""type"": ""Point""}";Tour 102;2016-03-14;47.4163727412446, 9.35650717356845
"{""coordinates"": [9.35577761267291, 47.4166946063456], ""type"": ""Point""}";Tour 102;2016-03-14;47.4166946063456, 9.35577761267291
"{""coordinates"": [9.35094695394915, 47.4140593358314], ""type"": ""Point""}";Tour 102;2016-03-14;47.4140593358314, 9.35094695394915
"{""coordinates"": [9.34898894125158, 47.4136167713175], ""type"": ""Point""}";Tour 102;2016-03-14;47.4136167713175, 9.34898894125158
"{""coordinates"": [9.34220429314399, 47.4114575929318], ""type"": ""Point""}";Tour 102;2016-03-14;47.4114575929318, 9.34220429314399
"{""coordinates"": [9.33882202737462, 47.4102385288619], ""type"": ""Point""}";Tour 102;2016-03-14;47.4102385288619, 9.33882202737462
"{""coordinates"": [9.33402355516097, 47.4105657583812], ""type"": ""Point""}";Tour 102;2016-03-14;47.4105657583812, 9.33402355516097
"{""coordinates"": [9.33385994040131, 47.410638178029], ""type"": ""Point""}";Tour 102;2016-03-14;47.410638178029, 9.33385994040131
"{""coordinates"": [9.33357830843795, 47.4104812687922], ""type"": ""Point""}";Tour 102;2016-03-14;47.4104812687922, 9.33357830843795
"{""coordinates"": [9.33284070091491, 47.4088303690451], ""type"": ""Point""}";Tour 102;2016-03-14;47.4088303690451, 9.33284070091491
"{""coordinates"": [9.33022420586491, 47.4074436669018], ""type"": ""Point""}";Tour 102;2016-03-14;47.4074436669018, 9.33022420586491
"{""coordinates"": [9.33069091026132, 47.4081759100065], ""type"": ""Point""}";Tour 102;2016-03-14;47.4081759100065, 9.33069091026132
"{""coordinates"": [9.33471556512805, 47.4096256440655], ""type"": ""Point""}";Tour 102;2016-03-14;47.4096256440655, 9.33471556512805
"{""coordinates"": [9.33420996869862, 47.4094633704104], ""type"": ""Point""}";Tour 102;2016-03-14;47.4094633704104, 9.33420996869862
"{""coordinates"": [9.33781619893409, 47.4101687914234], ""type"": ""Point""}";Tour 102;2016-03-14;47.4101687914234, 9.33781619893409
"{""coordinates"": [9.3424067999367, 47.4118116445429], ""type"": ""Point""}";Tour 102;2016-03-14;47.4118116445429, 9.3424067999367
"{""coordinates"": [9.35834851016691, 47.4178184519898], ""type"": ""Point""}";Tour 102;2016-03-14;47.4178184519898, 9.35834851016691
"{""coordinates"": [9.35750495538144, 47.4185024153294], ""type"": ""Point""}";Tour 102;2016-03-14;47.4185024153294, 9.35750495538144
"{""coordinates"": [9.35652997234644, 47.4200715076966], ""type"": ""Point""}";Tour 102;2016-03-14;47.4200715076966, 9.35652997234644
"{""coordinates"": [9.35552548501047, 47.4189463209478], ""type"": ""Point""}";Tour 102;2016-03-14;47.4189463209478, 9.35552548501047
"{""coordinates"": [9.33903526300401, 47.4132211454643], ""type"": ""Point""}";Tour 102;2016-03-14;47.4132211454643, 9.33903526300401
"{""coordinates"": [9.3483586220955, 47.4176172863017], ""type"": ""Point""}";Tour 103;2016-02-29;47.4176172863017, 9.3483586220955
"{""coordinates"": [9.35202386093283, 47.4200607788599], ""type"": ""Point""}";Tour 103;2016-02-29;47.4200607788599, 9.35202386093283
"{""coordinates"": [9.35154508659511, 47.4195739578947], ""type"": ""Point""}";Tour 103;2016-02-29;47.4195739578947, 9.35154508659511
"{""coordinates"": [9.35167919705387, 47.4195471358029], ""type"": ""Point""}";Tour 103;2016-02-29;47.4195471358029, 9.35167919705387
"{""coordinates"": [9.35240607574022, 47.419816697825], ""type"": ""Point""}";Tour 103;2016-02-29;47.419816697825, 9.35240607574022
"{""coordinates"": [9.35357149562665, 47.4189758252487], ""type"": ""Point""}";Tour 103;2016-02-29;47.4189758252487, 9.35357149562665
"{""coordinates"": [9.35016777218388, 47.4173396776521], ""type"": ""Point""}";Tour 103;2016-02-29;47.4173396776521, 9.35016777218388
"{""coordinates"": [9.34655081311172, 47.4161621878244], ""type"": ""Point""}";Tour 103;2016-02-29;47.4161621878244, 9.34655081311172
"{""coordinates"": [9.34566434297946, 47.4161232957914], ""type"": ""Point""}";Tour 103;2016-02-29;47.4161232957914, 9.34566434297946
"{""coordinates"": [9.35313563663576, 47.4192936670359], ""type"": ""Point""}";Tour 103;2016-02-29;47.4192936670359, 9.35313563663576
"{""coordinates"": [9.35191389035666, 47.4188269626395], ""type"": ""Point""}";Tour 103;2016-02-29;47.4188269626395, 9.35191389035666
"{""coordinates"": [9.35157593200063, 47.4188698779863], ""type"": ""Point""}";Tour 103;2016-02-29;47.4188698779863, 9.35157593200063
"{""coordinates"": [9.35145791479695, 47.4189691197258], ""type"": ""Point""}";Tour 103;2016-02-29;47.4189691197258, 9.35145791479695
"{""coordinates"": [9.3498257905141, 47.4204657924453], ""type"": ""Point""}";Tour 103;2016-02-29;47.4204657924453, 9.3498257905141
"{""coordinates"": [9.3490184455525, 47.4207273078398], ""type"": ""Point""}";Tour 103;2016-02-29;47.4207273078398, 9.3490184455525
"{""coordinates"": [9.34870865039281, 47.4207997274875], ""type"": ""Point""}";Tour 103;2016-02-29;47.4207997274875, 9.34870865039281
"{""coordinates"": [9.34841360738358, 47.4208895814949], ""type"": ""Point""}";Tour 103;2016-02-29;47.4208895814949, 9.34841360738358
"{""coordinates"": [9.34919815356722, 47.4210424674179], ""type"": ""Point""}";Tour 103;2016-02-29;47.4210424674179, 9.34919815356722
"{""coordinates"": [9.34939261373236, 47.4211806011904], ""type"": ""Point""}";Tour 103;2016-02-29;47.4211806011904, 9.34939261373236
"{""coordinates"": [9.34951599535441, 47.4212919128711], ""type"": ""Point""}";Tour 103;2016-02-29;47.4212919128711, 9.34951599535441
"{""coordinates"": [9.35001890957469, 47.4216325534363], ""type"": ""Point""}";Tour 103;2016-02-29;47.4216325534363, 9.35001890957469
"{""coordinates"": [9.35399528467627, 47.4226558162365], ""type"": ""Point""}";Tour 103;2016-02-29;47.4226558162365, 9.35399528467627
"{""coordinates"": [9.35490455358652, 47.4225056125227], ""type"": ""Point""}";Tour 103;2016-02-29;47.4225056125227, 9.35490455358652
"{""coordinates"": [9.35598280167477, 47.4219007743538], ""type"": ""Point""}";Tour 103;2016-02-29;47.4219007743538, 9.35598280167477
"{""coordinates"": [9.35630466677574, 47.4212020588638], ""type"": ""Point""}";Tour 103;2016-02-29;47.4212020588638, 9.35630466677574
"{""coordinates"": [9.34984456597832, 47.4212396097922], ""type"": ""Point""}";Tour 103;2016-02-29;47.4212396097922, 9.34984456597832
"{""coordinates"": [9.35029383601508, 47.4212302220601], ""type"": ""Point""}";Tour 103;2016-02-29;47.4212302220601, 9.35029383601508
"{""coordinates"": [9.35100998586475, 47.4211443913665], ""type"": ""Point""}";Tour 103;2016-02-29;47.4211443913665, 9.35100998586475
"{""coordinates"": [9.35473423330393, 47.4199306917149], ""type"": ""Point""}";Tour 103;2016-02-29;47.4199306917149, 9.35473423330393
"{""coordinates"": [9.35537662240128, 47.4200902831608], ""type"": ""Point""}";Tour 103;2016-02-29;47.4200902831608, 9.35537662240128
"{""coordinates"": [9.35637708642346, 47.4207313311536], ""type"": ""Point""}";Tour 103;2016-02-29;47.4207313311536, 9.35637708642346
"{""coordinates"": [9.35574274395364, 47.4211309803206], ""type"": ""Point""}";Tour 103;2016-02-29;47.4211309803206, 9.35574274395364
"{""coordinates"": [9.338313748736, 47.4141666241983], ""type"": ""Point""}";Tour 103;2016-02-29;47.4141666241983, 9.338313748736
"{""coordinates"": [9.33811392415248, 47.4143114634938], ""type"": ""Point""}";Tour 103;2016-02-29;47.4143114634938, 9.33811392415248
"{""coordinates"": [9.35226123644478, 47.4225968076346], ""type"": ""Point""}";Tour 103;2016-02-29;47.4225968076346, 9.35226123644478
"{""coordinates"": [9.34842970063863, 47.4220456136492], ""type"": ""Point""}";Tour 103;2016-02-29;47.4220456136492, 9.34842970063863
"{""coordinates"": [9.34729378505313, 47.4225377990328], ""type"": ""Point""}";Tour 103;2016-02-29;47.4225377990328, 9.34729378505313
"{""coordinates"": [9.34696655553381, 47.4225673033337], ""type"": ""Point""}";Tour 103;2016-02-29;47.4225673033337, 9.34696655553381
"{""coordinates"": [9.33817695606808, 47.4134142645248], ""type"": ""Point""}";Tour 103;2016-02-29;47.4134142645248, 9.33817695606808
"{""coordinates"": [9.33796103822954, 47.4132439442422], ""type"": ""Point""}";Tour 103;2016-02-29;47.4132439442422, 9.33796103822954
"{""coordinates"": [9.33477055041615, 47.4125613220073], ""type"": ""Point""}";Tour 103;2016-02-29;47.4125613220073, 9.33477055041615
"{""coordinates"": [9.33445404973352, 47.4131366558752], ""type"": ""Point""}";Tour 103;2016-02-29;47.4131366558752, 9.33445404973352
"{""coordinates"": [9.33382909499579, 47.4125197477651], ""type"": ""Point""}";Tour 103;2016-02-29;47.4125197477651, 9.33382909499579
"{""coordinates"": [9.33133329935868, 47.413371349178], ""type"": ""Point""}";Tour 103;2016-02-29;47.413371349178, 9.33133329935868
"{""coordinates"": [9.33234985663591, 47.410777652906], ""type"": ""Point""}";Tour 103;2016-02-29;47.410777652906, 9.33234985663591
"{""coordinates"": [9.3301625150539, 47.4087418561424], ""type"": ""Point""}";Tour 103;2016-02-29;47.4087418561424, 9.3301625150539
"{""coordinates"": [9.32968374071621, 47.4084588830744], ""type"": ""Point""}";Tour 103;2016-02-29;47.4084588830744, 9.32968374071621
"{""coordinates"": [9.37685307126361, 47.4303255933717], ""type"": ""Point""}";Tour 201;2016-03-08;47.4303255933717, 9.37685307126361
"{""coordinates"": [9.38003148913572, 47.4370002709031], ""type"": ""Point""}";Tour 201;2016-03-08;47.4370002709031, 9.38003148913572
"{""coordinates"": [9.38350897333081, 47.4393029474797], ""type"": ""Point""}";Tour 201;2016-03-08;47.4393029474797, 9.38350897333081
"{""coordinates"": [9.37951784607876, 47.4387302958208], ""type"": ""Point""}";Tour 201;2016-03-08;47.4387302958208, 9.37951784607876
"{""coordinates"": [9.37940921660717, 47.4385733865841], ""type"": ""Point""}";Tour 201;2016-03-08;47.4385733865841, 9.37940921660717
"{""coordinates"": [9.37831755747303, 47.4356953761396], ""type"": ""Point""}";Tour 201;2016-03-08;47.4356953761396, 9.37831755747303
"{""coordinates"": [9.37834035625102, 47.4342872163228], ""type"": ""Point""}";Tour 201;2016-03-08;47.4342872163228, 9.37834035625102
"{""coordinates"": [9.37895726436122, 47.433269317941], ""type"": ""Point""}";Tour 201;2016-03-08;47.433269317941, 9.37895726436122
"{""coordinates"": [9.37960367677235, 47.434351589343], ""type"": ""Point""}";Tour 201;2016-03-08;47.434351589343, 9.37960367677235
"{""coordinates"": [9.37752094134814, 47.4310310143847], ""type"": ""Point""}";Tour 201;2016-03-08;47.4310310143847, 9.37752094134814
"{""coordinates"": [9.37536980958998, 47.4288342850706], ""type"": ""Point""}";Tour 201;2016-03-08;47.4288342850706, 9.37536980958998
"{""coordinates"": [9.3770877645664, 47.4297676938634], ""type"": ""Point""}";Tour 201;2016-03-08;47.4297676938634, 9.3770877645664
"{""coordinates"": [9.37716018421412, 47.4299460607735], ""type"": ""Point""}";Tour 201;2016-03-08;47.4299460607735, 9.37716018421412
"{""coordinates"": [9.38030775668071, 47.4322138686308], ""type"": ""Point""}";Tour 201;2016-03-08;47.4322138686308, 9.38030775668071
"{""coordinates"": [9.38014414192105, 47.4316935200509], ""type"": ""Point""}";Tour 201;2016-03-08;47.4316935200509, 9.38014414192105
"{""coordinates"": [9.38020046831372, 47.431611712671], ""type"": ""Point""}";Tour 201;2016-03-08;47.431611712671, 9.38020046831372
"{""coordinates"": [9.38138734587355, 47.4324887950712], ""type"": ""Point""}";Tour 201;2016-03-08;47.4324887950712, 9.38138734587355
"{""coordinates"": [9.38325684566837, 47.433123137541], ""type"": ""Point""}";Tour 201;2016-03-08;47.433123137541, 9.38325684566837
"{""coordinates"": [9.3829564382408, 47.4356859884075], ""type"": ""Point""}";Tour 201;2016-03-08;47.4356859884075, 9.3829564382408
"{""coordinates"": [9.38143428453412, 47.4352045318606], ""type"": ""Point""}";Tour 201;2016-03-08;47.4352045318606, 9.38143428453412
"{""coordinates"": [9.38007440448251, 47.4344494899779], ""type"": ""Point""}";Tour 201;2016-03-08;47.4344494899779, 9.38007440448251
"{""coordinates"": [9.383082502072, 47.4347311219413], ""type"": ""Point""}";Tour 201;2016-03-08;47.4347311219413, 9.383082502072
"{""coordinates"": [9.38338156839498, 47.4348437747266], ""type"": ""Point""}";Tour 201;2016-03-08;47.4348437747266, 9.38338156839498
"{""coordinates"": [9.3838482727914, 47.4350248238459], ""type"": ""Point""}";Tour 201;2016-03-08;47.4350248238459, 9.3838482727914
"{""coordinates"": [9.38317503828853, 47.4362854621581], ""type"": ""Point""}";Tour 201;2016-03-08;47.4362854621581, 9.38317503828853
"{""coordinates"": [9.38051562789175, 47.4332116504438], ""type"": ""Point""}";Tour 201;2016-03-08;47.4332116504438, 9.38051562789175
"{""coordinates"": [9.38140612133779, 47.4331942160841], ""type"": ""Point""}";Tour 201;2016-03-08;47.4331942160841, 9.38140612133779
"{""coordinates"": [9.38176821957637, 47.4336917658861], ""type"": ""Point""}";Tour 201;2016-03-08;47.4336917658861, 9.38176821957637
"{""coordinates"": [9.38825782467472, 47.438203241718], ""type"": ""Point""}";Tour 201;2016-03-08;47.438203241718, 9.38825782467472
"{""coordinates"": [9.38919793899046, 47.4391889535897], ""type"": ""Point""}";Tour 201;2016-03-08;47.4391889535897, 9.38919793899046
"{""coordinates"": [9.3893025451483, 47.4392506444007], ""type"": ""Point""}";Tour 201;2016-03-08;47.4392506444007, 9.3893025451483
"{""coordinates"": [9.39042504968793, 47.4404428863789], ""type"": ""Point""}";Tour 201;2016-03-08;47.4404428863789, 9.39042504968793
"{""coordinates"": [9.3915636474826, 47.4410530889662], ""type"": ""Point""}";Tour 201;2016-03-08;47.4410530889662, 9.3915636474826
"{""coordinates"": [9.39181577514503, 47.4411617184378], ""type"": ""Point""}";Tour 201;2016-03-08;47.4411617184378, 9.39181577514503
"{""coordinates"": [9.39032312573929, 47.4406132066615], ""type"": ""Point""}";Tour 201;2016-03-08;47.4406132066615, 9.39032312573929
"{""coordinates"": [9.39020644964017, 47.4405944311973], ""type"": ""Point""}";Tour 201;2016-03-08;47.4405944311973, 9.39020644964017
"{""coordinates"": [9.38967000780522, 47.4405313992817], ""type"": ""Point""}";Tour 201;2016-03-08;47.4405313992817, 9.38967000780522
"{""coordinates"": [9.3891617291666, 47.4403999710322], ""type"": ""Point""}";Tour 201;2016-03-08;47.4403999710322, 9.3891617291666
"{""coordinates"": [9.38820149828206, 47.4393364750943], ""type"": ""Point""}";Tour 201;2016-03-08;47.4393364750943, 9.38820149828206
"{""coordinates"": [9.38449066188875, 47.4381254576519], ""type"": ""Point""}";Tour 201;2016-03-08;47.4381254576519, 9.38449066188875
"{""coordinates"": [9.38158851156166, 47.4351710042459], ""type"": ""Point""}";Tour 201;2016-03-08;47.4351710042459, 9.38158851156166
"{""coordinates"": [9.3855809799183, 47.4382609092153], ""type"": ""Point""}";Tour 201;2016-03-08;47.4382609092153, 9.3855809799183
"{""coordinates"": [9.38434582259333, 47.4396020138026], ""type"": ""Point""}";Tour 201;2016-03-08;47.4396020138026, 9.38434582259333
"{""coordinates"": [9.38617106593674, 47.4423807825077], ""type"": ""Point""}";Tour 201;2016-03-08;47.4423807825077, 9.38617106593674
"{""coordinates"": [9.38716214222683, 47.4430271949188], ""type"": ""Point""}";Tour 201;2016-03-08;47.4430271949188, 9.38716214222683
"{""coordinates"": [9.38691269677358, 47.4409377539717], ""type"": ""Point""}";Tour 201;2016-03-08;47.4409377539717, 9.38691269677358
"{""coordinates"": [9.38799228596642, 47.44134947308], ""type"": ""Point""}";Tour 201;2016-03-08;47.44134947308, 9.38799228596642
"{""coordinates"": [9.38869904808396, 47.4418899382287], ""type"": ""Point""}";Tour 201;2016-03-08;47.4418899382287, 9.38869904808396
"{""coordinates"": [9.38912686044733, 47.4421957100747], ""type"": ""Point""}";Tour 201;2016-03-08;47.4421957100747, 9.38912686044733
"{""coordinates"": [9.38955333170614, 47.4425765837775], ""type"": ""Point""}";Tour 201;2016-03-08;47.4425765837775, 9.38955333170614
"{""coordinates"": [9.39008709133191, 47.4420240486875], ""type"": ""Point""}";Tour 201;2016-03-08;47.4420240486875, 9.39008709133191
"{""coordinates"": [9.38969146547862, 47.4416270817296], ""type"": ""Point""}";Tour 201;2016-03-08;47.4416270817296, 9.38969146547862
"{""coordinates"": [9.38659083167261, 47.4415130878397], ""type"": ""Point""}";Tour 201;2016-03-08;47.4415130878397, 9.38659083167261
"{""coordinates"": [9.38622068680647, 47.4412006104708], ""type"": ""Point""}";Tour 201;2016-03-08;47.4412006104708, 9.38622068680647
"{""coordinates"": [9.38575532351467, 47.4408639932194], ""type"": ""Point""}";Tour 201;2016-03-08;47.4408639932194, 9.38575532351467
"{""coordinates"": [9.38406150842079, 47.4401907587165], ""type"": ""Point""}";Tour 201;2016-03-08;47.4401907587165, 9.38406150842079
"{""coordinates"": [9.38389655255654, 47.4397884273403], ""type"": ""Point""}";Tour 201;2016-03-08;47.4397884273403, 9.38389655255654
"{""coordinates"": [9.3824360896609, 47.4383427165951], ""type"": ""Point""}";Tour 201;2016-03-08;47.4383427165951, 9.3824360896609
"{""coordinates"": [9.38401456976024, 47.4370485506683], ""type"": ""Point""}";Tour 201;2016-03-08;47.4370485506683, 9.38401456976024
"{""coordinates"": [9.38452418950345, 47.4354499540001], ""type"": ""Point""}";Tour 201;2016-03-08;47.4354499540001, 9.38452418950345
"{""coordinates"": [9.37665324668009, 47.4313005764068], ""type"": ""Point""}";Tour 202;2016-03-15;47.4313005764068, 9.37665324668009
"{""coordinates"": [9.37521021814408, 47.4304851848176], ""type"": ""Point""}";Tour 202;2016-03-15;47.4304851848176, 9.37521021814408
"{""coordinates"": [9.37358748159335, 47.4311597604251], ""type"": ""Point""}";Tour 202;2016-03-15;47.4311597604251, 9.37358748159335
"{""coordinates"": [9.3732615931786, 47.4318826157977], ""type"": ""Point""}";Tour 202;2016-03-15;47.4318826157977, 9.3732615931786
"{""coordinates"": [9.37278013663175, 47.4322138686308], ""type"": ""Point""}";Tour 202;2016-03-15;47.4322138686308, 9.37278013663175
"{""coordinates"": [9.37235366537294, 47.4328964908657], ""type"": ""Point""}";Tour 202;2016-03-15;47.4328964908657, 9.37235366537294
"{""coordinates"": [9.37423523510904, 47.4328656454602], ""type"": ""Point""}";Tour 202;2016-03-15;47.4328656454602, 9.37423523510904
"{""coordinates"": [9.37490444629816, 47.435079809134], ""type"": ""Point""}";Tour 202;2016-03-15;47.435079809134, 9.37490444629816
"{""coordinates"": [9.37582846735884, 47.4353466889469], ""type"": ""Point""}";Tour 202;2016-03-15;47.4353466889469, 9.37582846735884
"{""coordinates"": [9.37549989673494, 47.435869719736], ""type"": ""Point""}";Tour 202;2016-03-15;47.435869719736, 9.37549989673494
"{""coordinates"": [9.3738999589622, 47.4365737996443], ""type"": ""Point""}";Tour 202;2016-03-15;47.4365737996443, 9.3738999589622
"{""coordinates"": [9.37432240690723, 47.4372604451931], ""type"": ""Point""}";Tour 202;2016-03-15;47.4372604451931, 9.37432240690723
"{""coordinates"": [9.37317844469419, 47.4369882009618], ""type"": ""Point""}";Tour 202;2016-03-15;47.4369882009618, 9.37317844469419
"{""coordinates"": [9.37298398452901, 47.4367280266719], ""type"": ""Point""}";Tour 202;2016-03-15;47.4367280266719, 9.37298398452901
"{""coordinates"": [9.37222760154174, 47.4367226622535], ""type"": ""Point""}";Tour 202;2016-03-15;47.4367226622535, 9.37222760154174
"{""coordinates"": [9.37271308140237, 47.4374321065803], ""type"": ""Point""}";Tour 202;2016-03-15;47.4374321065803, 9.37271308140237
"{""coordinates"": [9.37215652299861, 47.4357369503818], ""type"": ""Point""}";Tour 202;2016-03-15;47.4357369503818, 9.37215652299861
"{""coordinates"": [9.3719124419637, 47.437143769094], ""type"": ""Point""}";Tour 202;2016-03-15;47.437143769094, 9.3719124419637
"{""coordinates"": [9.3721578641032, 47.4375554882023], ""type"": ""Point""}";Tour 202;2016-03-15;47.4375554882023, 9.3721578641032
"{""coordinates"": [9.37696170073519, 47.4366582892333], ""type"": ""Point""}";Tour 202;2016-03-15;47.4366582892333, 9.37696170073519
"{""coordinates"": [9.37702070933705, 47.4367360732994], ""type"": ""Point""}";Tour 202;2016-03-15;47.4367360732994, 9.37702070933705
"{""coordinates"": [9.37853615752078, 47.4373824857105], ""type"": ""Point""}";Tour 202;2016-03-15;47.4373824857105, 9.37853615752078
"{""coordinates"": [9.37878694407863, 47.4379605017877], ""type"": ""Point""}";Tour 202;2016-03-15;47.4379605017877, 9.37878694407863
"{""coordinates"": [9.37882851832083, 47.4382340871235], ""type"": ""Point""}";Tour 202;2016-03-15;47.4382340871235, 9.37882851832083
"{""coordinates"": [9.37905650610068, 47.4399158322761], ""type"": ""Point""}";Tour 202;2016-03-15;47.4399158322761, 9.37905650610068
"{""coordinates"": [9.37691476207465, 47.4384191595566], ""type"": ""Point""}";Tour 202;2016-03-15;47.4384191595566, 9.37691476207465
"{""coordinates"": [9.37735062106555, 47.4379739128336], ""type"": ""Point""}";Tour 202;2016-03-15;47.4379739128336, 9.37735062106555
"{""coordinates"": [9.37703546148751, 47.4393016063751], ""type"": ""Point""}";Tour 202;2016-03-15;47.4393016063751, 9.37703546148751
"{""coordinates"": [9.3789693343025, 47.4415197933626], ""type"": ""Point""}";Tour 202;2016-03-15;47.4415197933626, 9.3789693343025
"{""coordinates"": [9.38156705388826, 47.4415385688268], ""type"": ""Point""}";Tour 202;2016-03-15;47.4415385688268, 9.38156705388826
"{""coordinates"": [9.38027020575225, 47.440497871667], ""type"": ""Point""}";Tour 202;2016-03-15;47.440497871667, 9.38027020575225
"{""coordinates"": [9.38022863151005, 47.4401397967422], ""type"": ""Point""}";Tour 202;2016-03-15;47.4401397967422, 9.38022863151005
"{""coordinates"": [9.37777306901057, 47.4411496484965], ""type"": ""Point""}";Tour 202;2016-03-15;47.4411496484965, 9.37777306901057
"{""coordinates"": [9.3761315569956, 47.4399547243091], ""type"": ""Point""}";Tour 202;2016-03-15;47.4399547243091, 9.3761315569956
"{""coordinates"": [9.38078250770465, 47.4419677222948], ""type"": ""Point""}";Tour 202;2016-03-15;47.4419677222948, 9.38078250770465
"{""coordinates"": [9.3810949850735, 47.4423794414031], ""type"": ""Point""}";Tour 202;2016-03-15;47.4423794414031, 9.3810949850735
"{""coordinates"": [9.38242401971959, 47.443290051418], ""type"": ""Point""}";Tour 202;2016-03-15;47.443290051418, 9.38242401971959
"{""coordinates"": [9.38317503828853, 47.44437232282], ""type"": ""Point""}";Tour 202;2016-03-15;47.44437232282, 9.38317503828853
"{""coordinates"": [9.38371013901889, 47.444749173209], ""type"": ""Point""}";Tour 202;2016-03-15;47.444749173209, 9.38371013901889
"{""coordinates"": [9.38133236058547, 47.4440088834768], ""type"": ""Point""}";Tour 202;2016-03-15;47.4440088834768, 9.38133236058547
"{""coordinates"": [9.38119556791756, 47.4440585043465], ""type"": ""Point""}";Tour 202;2016-03-15;47.4440585043465, 9.38119556791756
"{""coordinates"": [9.37888886802727, 47.4429762329445], ""type"": ""Point""}";Tour 202;2016-03-15;47.4429762329445, 9.37888886802727
