Geo Point;Geo Shape;Standort;anzeigesta
47.40199657953095, 9.296411275862217;"{""coordinates"": [9.296411275862217, 47.40199657953095], ""type"": ""Point""}";Kreuzbühlstrasse 34;1
47.42128917202602, 9.353908356243487;"{""coordinates"": [9.353908356243487, 47.42128917202602], ""type"": ""Point""}";Gerbeweg;1
47.42178113320445, 9.376666231907235;"{""coordinates"": [9.376666231907235, 47.42178113320445], ""type"": ""Point""}";Mühlensteg 3;1
47.424932739598134, 9.383512390903736;"{""coordinates"": [9.383512390903736, 47.424932739598134], ""type"": ""Point""}";Linsebühlstrasse 74;1
47.43717335973982, 9.416551485101754;"{""coordinates"": [9.416551485101754, 47.43717335973982], ""type"": ""Point""}";Reherstrasse 20;1
47.43751225274475, 9.417418086555289;"{""coordinates"": [9.417418086555289, 47.43751225274475], ""type"": ""Point""}";Reherstrasse 22;1
47.43773836307493, 9.41805680909649;"{""coordinates"": [9.41805680909649, 47.43773836307493], ""type"": ""Point""}";Tablatstrasse 4 (Tiefgarage Reherstr.);1
47.41005852489518, 9.36174963068223;"{""coordinates"": [9.36174963068223, 47.41005852489518], ""type"": ""Point""}";Solitüdenstrasse 38;1
47.42593698529927, 9.382004570675258;"{""coordinates"": [9.382004570675258, 47.42593698529927], ""type"": ""Point""}";Lämmlisbrunnenstrasse 53;1
47.415874259071856, 9.383899850099848;"{""coordinates"": [9.383899850099848, 47.415874259071856], ""type"": ""Point""}";St.Georgen-Strasse Überbauung Maestrani;1
47.42247086925797, 9.363844256809827;"{""coordinates"": [9.363844256809827, 47.42247086925797], ""type"": ""Point""}";Rosenbergweg 16;1
47.40627244265274, 9.336853629847242;"{""coordinates"": [9.336853629847242, 47.40627244265274], ""type"": ""Point""}";Boppartshofweg;1
47.4199924355328, 9.368128202032569;"{""coordinates"": [9.368128202032569, 47.4199924355328], ""type"": ""Point""}";Davidstrasse 40;1
47.40506015631378, 9.317457981314208;"{""coordinates"": [9.317457981314208, 47.40506015631378], ""type"": ""Point""}";Hofstrasse 1;1
